Nro Factura,valor_capital,fecha_abono,fecha_factura,demora_pago,habito_pago
108408,1755766,29/06/2018,14/09/2017,288,0.0
108441,1316825,10/01/2018,22/09/2017,110,0.0
108479,857533,17/01/2018,30/09/2017,109,0.0
108549,1316825,17/04/2018,10/10/2017,189,0.0
108550,1316825,12/02/2018,10/10/2017,125,0.0
108553,877883,28/02/2018,10/10/2017,141,0.0
108559,1316825,30/12/2019,10/10/2017,811,0.0
108602,1316825,04/01/2018,11/10/2017,85,0.0
108603,1316825,23/02/2018,11/10/2017,135,0.0
108605,1316825,23/02/2018,11/10/2017,135,0.0
108610,1755766,28/12/2018,11/10/2017,443,0.0
108627,2633650,06/03/2018,12/10/2017,145,0.0
108640,1755766,06/03/2018,12/10/2017,145,0.0
108654,877883,22/03/2018,12/10/2017,161,0.0
108694,2633650,31/01/2018,12/10/2017,111,0.0
108697,-7023066,28/09/2018,12/10/2017,351,0.0
108700,1316825,20/04/2018,12/10/2017,190,0.0
108708,4389416,09/01/2018,12/10/2017,89,0.0
108714,2633650,26/06/2018,12/10/2017,257,0.0
108726,438942,04/01/2018,12/10/2017,84,0.0
108729,877883,28/12/2018,12/10/2017,442,0.0
108730,3511533,07/02/2018,12/10/2017,118,0.0
108731,2633650,30/12/2019,12/10/2017,809,0.0
108775,1316825,12/03/2018,12/10/2017,151,0.0
108798,877883,18/01/2018,12/10/2017,98,0.0
108815,877883,28/12/2018,12/10/2017,442,0.0
108826,1755766,24/01/2018,12/10/2017,104,0.0
108872,1031825,29/01/2018,13/10/2017,108,0.0
108878,1316825,30/12/2019,13/10/2017,808,0.0
108879,438942,30/12/2019,13/10/2017,808,0.0
108889,8778832,20/03/2019,13/10/2017,523,0.0
108919,877883,10/07/2018,13/10/2017,270,0.0
108933,73149672,24/01/2018,13/10/2017,103,0.0
108939,4750747,28/02/2018,13/10/2017,138,0.0
108964,1755766,21/06/2018,13/10/2017,251,0.0
108973,10696897,30/01/2018,13/10/2017,109,0.0
108974,10696873,30/01/2018,13/10/2017,109,0.0
108985,877883,11/09/2018,13/10/2017,333,0.0
108992,4389416,17/01/2018,13/10/2017,96,0.0
109001,877883,28/03/2018,13/10/2017,166,0.0
109023,14754317,15/01/2018,17/10/2017,90,0.0
109029,1316642,03/01/2018,17/10/2017,78,0.0
109033,1316825,27/02/2018,17/10/2017,133,0.0
109035,1931343,28/12/2018,17/10/2017,437,0.0
109037,1755766,21/03/2018,17/10/2017,155,0.0
109039,1316825,28/12/2018,17/10/2017,437,0.0
109042,1316825,29/06/2018,17/10/2017,255,0.0
109043,1316825,28/12/2018,17/10/2017,437,0.0
109048,1755766,29/06/2018,17/10/2017,255,0.0
109049,14754340,28/12/2018,17/10/2017,437,0.0
109050,14754294,28/12/2018,17/10/2017,437,0.0
109051,1755766,29/06/2018,17/10/2017,255,0.0
109052,877883,29/06/2018,17/10/2017,255,0.0
109076,3511533,30/11/2018,17/10/2017,409,0.0
109117,837935,17/01/2018,31/10/2017,78,0.0
